transaction_id,date,description,amount,gross_amount,fee_amount,payment_method,payment_details,bank_name,reference,invoice_number,status,created_at
8e4defd9-3152-4ea0-8963-0a7b3f474f85,2024-08-11,Pago Factura 0002-00001015 - Cliente Ana Martínez,63656.97,66174.85,2517.88,Tarjeta de Débito,Debito ending in 9012,Santander Río,FAC-000200001015,0002-00001015,Compensado,2026-08-23 01:31:22
40205a31-04c4-4bda-8918-c07f3d303904,2024-06-01,Pago Factura 0004-00001016 - Empresa Del Sol ,33526.38,34740.91,1214.53,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000400001016,0004-00001016,Compensado,2026-08-23 01:31:22
4d74b192-ef0a-49a1-9ba6-bdce98f59d29,2024-08-16,Pago Factura 0001-00001017 - Empresa La Aurora S.R.L.,129033.5,132331.78,3298.28,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000100001017,0001-00001017,Compensado,2026-08-23 01:31:22
f9d42eba-9749-47b8-9e15-51861409ed65,2024-08-20,Pago Factura 0002-00001018 - Cliente Laura López,69933.69,69933.69,0,Transferencia Bancaria,CBU: 0110001122000001234567,Itaú,FAC-000200001018,0002-00001018,Compensado,2026-08-23 01:31:22
6ac2d2c8-f6a5-499d-af0c-235b8e7c3966,2024-08-22,Pago Factura 0005-00001019 - Empresa El Progreso S.A.,221311.08,221311.08,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000500001019,0005-00001019,Compensado,2026-08-23 01:31:22
b4f5e91d-2a2e-4d12-bb44-14b02e517b8a,2024-07-20,Pago Factura 0001-00001020 - Empresa El Progreso S.A.,135132.69,139465.1,4332.41,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000100001020,0001-00001020,Compensado,2026-08-23 01:31:22
18a9a427-8242-4317-b895-069e82026ba4,2024-06-06,Pago Factura 0005-00001022 - Cliente Laura Martínez,138287.18,138287.18,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000500001022,0005-00001022,Compensado,2026-08-23 01:31:22
1294a4a3-e0d3-459c-b983-69e360156fc4,2024-08-28,Pago Factura 0002-00001023 - Cliente Juan López,146725.33,146725.33,0,Mercado Pago,MP Transaction ID: MP123456789,Mercado Pago,FAC-000200001023,0002-00001023,Compensado,2026-08-23 01:31:22
968ef1c6-bb6e-4217-b775-907c5892ebb1,2024-06-28,Pago Factura 0005-00001024 - Empresa San Martín S.A.,306122.96,306122.96,0,Mercado Pago,MP Transaction ID: MP123456789,Mercado Pago,FAC-000500001024,0005-00001024,Compensado,2026-08-23 01:31:22
b99731ed-5031-4eb0-96f9-eb25e6566bd1,2024-07-23,Pago Factura 0004-00001026 - Comercio La Aurora ,849399.27,867411.19,18011.92,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000400001026,0004-00001026,Compensado,2026-08-23 01:31:22
ea523db0-e97c-4781-b98e-e6052a61e122,2024-08-27,Pago Factura 0004-00001028 - Empresa San Martín ,208853.08,208853.08,0,Transferencia Bancaria,CBU: 0720001230000034567890,Banco Nación,FAC-000400001028,0004-00001028,Compensado,2026-08-23 01:31:22
024acbef-d374-4727-a75a-f9ccf798595d,2024-06-25,Pago Factura 0002-00001029 - Tienda El Progreso S.R.L.,141582.77,141582.77,0,Transferencia Bancaria,CBU: 0110001122000001234567,Itaú,FAC-000200001029,0002-00001029,Compensado,2026-08-23 01:31:22
c5185301-9a4e-4efc-9cd3-b0b736f2ebe6,2024-08-02,Pago Factura 0004-00001031 - Empresa San Martín S.A.,423527.41,423527.41,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000400001031,0004-00001031,Compensado,2026-08-23 01:31:22
37b9a5fe-343d-42b5-b89a-64d17ee048ee,2024-06-07,Pago Factura 0005-00001032 - Tienda San Martín ,134552.17,134552.17,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000500001032,0005-00001032,Compensado,2026-08-23 01:31:22
9830a5d4-6384-4217-8283-5ca4dfe2856e,2024-08-01,Pago Factura 0004-00001033 - Empresa El Progreso S.A.,333701.52,346832.8,13131.28,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000400001033,0004-00001033,Compensado,2026-08-23 01:31:22
c0a1a25d-b6cd-488a-b679-5334003b0d45,2024-06-20,Pago Factura 0003-00001034 - Cliente Luis Martínez,265090.41,265090.41,0,Mercado Pago,MP Transaction ID: MP123456789,Mercado Pago,FAC-000300001034,0003-00001034,Compensado,2026-08-23 01:31:22
68915fd2-8efb-48fc-bfc4-8effd4430e21,2024-08-26,Pago Factura 0005-00001036 - Empresa San Martín S.A.,530379.88,530379.88,0,Mercado Pago,MP Transaction ID: MP123456789,Mercado Pago,FAC-000500001036,0005-00001036,Compensado,2026-08-23 01:31:22
4148fab8-d741-474d-9104-f1cfb07da73f,2024-07-29,Pago Factura 0003-00001037 - Tienda Del Sol S.R.L.,127098.64,127098.64,0,Mercado Pago,MP Transaction ID: MP123456789,Mercado Pago,FAC-000300001037,0003-00001037,Compensado,2026-08-23 01:31:22
b8164e4a-753f-49ef-884a-ced7e787100a,2024-08-24,Pago Factura 0005-00001038 - Cliente María Martínez,480674.15,492169.15,11495.0,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000500001038,0005-00001038,Compensado,2026-08-23 01:31:22
f0ed32da-8d6f-4cf8-914f-b333b6d41243,2024-06-17,Pago Factura 0002-00001039 - Cliente Juan López,1747603.22,1747603.22,0,Transferencia Bancaria,CBU: 0640001230000012345678,Banco Ciudad,FAC-000200001039,0002-00001039,Compensado,2026-08-23 01:31:22
43625247-8bc5-4e6e-86b6-872a1cec6181,2024-08-13,Pago Factura 0001-00001040 - Cliente Ana Martínez,143739.38,143739.38,0,Transferencia Bancaria,CBU: 0720001230000034567890,Banco Nación,FAC-000100001040,0001-00001040,Compensado,2026-08-23 01:31:22
599104b7-cc99-4efb-b7fc-e32ed33048b2,2024-07-29,Pago Factura 0005-00001041 - Tienda El Progreso S.R.L.,317434.72,317434.72,0,Transferencia Bancaria,CBU: 0110001122000001234567,Itaú,FAC-000500001041,0005-00001041,Compensado,2026-08-23 01:31:22
eac6f903-63ff-46f0-ad64-fcb37ac0c3f9,2024-07-30,Pago Factura 0002-00001042 - Cliente Carlos López,186989.82,186989.82,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000200001042,0002-00001042,Compensado,2026-08-23 01:31:22
9d7f6e8f-a905-4922-beff-8403ac2182e7,2024-07-07,Pago Factura 0005-00001043 - Comercio Del Sol S.A.,189488.71,189488.71,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000500001043,0005-00001043,Compensado,2026-08-23 01:31:22
2e91efb0-feb1-47d9-8279-cd44c0320367,2024-07-10,Pago Factura 0003-00001044 - Comercio El Progreso S.A.,102721.3,105497.03,2775.73,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000300001044,0003-00001044,Compensado,2026-08-23 01:31:22
c61fdf22-07c6-4dde-b5d4-e2597c726833,2024-08-29,Pago Factura 0005-00001045 - Cliente Carlos García,43165.86,44252.24,1086.38,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,FAC-000500001045,0005-00001045,Compensado,2026-08-23 01:31:22
70f7d885-04b2-45ab-8cf3-15031336b420,2024-06-03,Pago Factura 0002-00001046 - Tienda El Progreso S.R.L.,88175.63,88175.63,0,Transferencia Bancaria,CBU: 0110001122000001234567,Itaú,FAC-000200001046,0002-00001046,Compensado,2026-08-23 01:31:22
0b12b010-77c7-481d-9c43-fbb9df13f48f,2024-06-08,Pago Factura 0001-00001047 - Comercio La Aurora ,522141.72,522141.72,0,Transferencia Bancaria,CBU: 0110001122000001234567,Itaú,FAC-000100001047,0001-00001047,Compensado,2026-08-23 01:31:22
986eda60-e319-4d47-8d38-bc7479e41725,2024-08-15,Pago Factura 0002-00001048 - Empresa La Aurora S.A.,77690.92,79280.78,1589.86,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,FAC-000200001048,0002-00001048,Compensado,2026-08-23 01:31:22
6dc746d4-65e3-4091-9643-d552519a0cfa,2024-08-16,Pago Factura 0001-00001049 - Tienda La Aurora S.R.L.,173612.68,173612.68,0,Cheque,Cheque Nro. 00012345,HSBC,FAC-000100001049,0001-00001049,Compensado,2026-08-23 01:31:22
